"t","x","y"
0,0.9658,0.8668
1,0.9658,0.8668
2,0.9659,0.8635
3,0.9659,0.8635
4,0.9659,0.8635
5,0.9659,0.8603
6,0.9659,0.8603
7,0.966,0.857
8,0.966,0.857
9,0.966,0.857
10,0.966,0.8537
11,0.966,0.8537
12,0.9661,0.8505
13,0.9661,0.8505
14,0.9662,0.8472
15,0.9662,0.8472
16,0.9662,0.8472
17,0.9662,0.844
18,0.9662,0.844
19,0.9663,0.8407
20,0.9663,0.8407
21,0.9663,0.8407
22,0.9663,0.8375
23,0.9663,0.8375
24,0.9664,0.8342
25,0.9664,0.8342
26,0.9664,0.8342
27,0.9664,0.831
28,0.9664,0.831
29,0.9665,0.8278
30,0.9665,0.8278
31,0.9665,0.8278
32,0.9665,0.8245
33,0.9665,0.8245
34,0.9666,0.8213
35,0.9666,0.8213
36,0.9667,0.8181
37,0.9667,0.8181
38,0.9667,0.8181
39,0.9667,0.8149
40,0.9667,0.8149
41,0.9668,0.8117
42,0.9668,0.8117
43,0.9668,0.8085
44,0.9668,0.8085
45,0.9668,0.8085
46,0.9669,0.8052
47,0.9669,0.8052
48,0.9669,0.802
49,0.9669,0.802
50,0.9669,0.802
51,0.967,0.7988
52,0.967,0.7988
53,0.9671,0.7956
54,0.9671,0.7956
55,0.9671,0.7956
56,0.9671,0.7924
57,0.9671,0.7924
58,0.9672,0.7893
59,0.9672,0.7893
60,0.9672,0.7861
61,0.9672,0.7861
62,0.9672,0.7861
63,0.9673,0.7829
64,0.9673,0.7829
65,0.9673,0.7797
66,0.9673,0.7797
67,0.9673,0.7797
68,0.9674,0.7765
69,0.9674,0.7765
70,0.9674,0.7734
71,0.9674,0.7734
72,0.9674,0.7734
73,0.9675,0.7702
74,0.9675,0.7702
75,0.9676,0.767
76,0.9676,0.767
77,0.9676,0.767
78,0.9676,0.7639
79,0.9676,0.7639
80,0.9677,0.7607
81,0.9677,0.7607
82,0.9677,0.7576
83,0.9677,0.7576
84,0.9677,0.7576
85,0.9678,0.7544
86,0.9678,0.7544
87,0.9678,0.7513
88,0.9678,0.7513
89,0.9678,0.7513
90,0.9679,0.7481
91,0.9679,0.7481
92,0.9679,0.745
93,0.9679,0.745
94,0.968,0.7418
95,0.968,0.7418
96,0.968,0.7418
97,0.9681,0.7387
98,0.9681,0.7387
99,0.9681,0.7356
100,0.9681,0.7356
101,0.9681,0.7356
102,0.9682,0.7324
103,0.9682,0.7324
104,0.9682,0.7293
105,0.9682,0.7293
106,0.9682,0.7293
107,0.9683,0.7262
108,0.9683,0.7262
109,0.9683,0.7231
110,0.9683,0.7231
111,0.9684,0.72
112,0.9684,0.72
113,0.9684,0.72
114,0.9684,0.7169
115,0.9684,0.7169
116,0.9685,0.7138
117,0.9685,0.7138
118,0.9685,0.7138
119,0.9685,0.7107
120,0.9685,0.7107
121,0.9686,0.7076
122,0.9686,0.7076
123,0.9686,0.7076
124,0.9686,0.7045
125,0.9686,0.7045
126,0.9687,0.7014
127,0.9687,0.7014
128,0.9687,0.7014
129,0.9688,0.6983
130,0.9688,0.6983
131,0.9688,0.6952
132,0.9688,0.6952
133,0.9688,0.6952
134,0.9689,0.6921
135,0.9689,0.6921
136,0.9689,0.689
137,0.9689,0.689
138,0.969,0.686
139,0.969,0.686
140,0.969,0.686
141,0.969,0.6829
142,0.969,0.6829
143,0.9691,0.6798
144,0.9691,0.6798
145,0.9691,0.6768
146,0.9692,0.6737
147,0.9692,0.6737
148,0.9692,0.6737
149,0.9692,0.6706
150,0.9692,0.6706
151,0.9693,0.6676
152,0.9693,0.6676
153,0.9693,0.6676
154,0.9693,0.6645
155,0.9693,0.6645
156,0.9694,0.6615
157,0.9694,0.6615
158,0.9695,0.6584
159,0.9695,0.6584
160,0.9695,0.6584
161,0.9695,0.6554
162,0.9695,0.6554
163,0.9696,0.6524
164,0.9696,0.6524
165,0.9696,0.6524
166,0.9696,0.6493
167,0.9696,0.6493
168,0.9697,0.6463
169,0.9697,0.6463
170,0.9697,0.6463
171,0.9697,0.6433
172,0.9697,0.6433
173,0.9698,0.6402
174,0.9698,0.6402
175,0.9698,0.6402
176,0.9681,0.6416
177,0.9681,0.6416
178,0.9664,0.643
179,0.9664,0.643
180,0.9647,0.6443
181,0.9647,0.6443
182,0.9631,0.6457
183,0.9631,0.6457
184,0.9631,0.6457
185,0.9614,0.647
186,0.9614,0.647
187,0.9597,0.6484
188,0.9597,0.6484
189,0.9597,0.6484
190,0.9585,0.6496
191,0.9584,0.6494
192,0.9575,0.6506
193,0.9573,0.6503
194,0.9567,0.6514
195,0.9564,0.6511
196,0.9564,0.6511
197,0.9559,0.6521
198,0.9556,0.6517
199,0.9552,0.6527
200,0.9549,0.6523
201,0.9549,0.6523
202,0.9546,0.6533
203,0.9542,0.6528
204,0.9539,0.6539
205,0.9535,0.6534
206,0.9531,0.6545
207,0.9527,0.654
208,0.9526,0.6547
209,0.9523,0.6543
210,0.9523,0.6543
211,0.9522,0.6547
212,0.9521,0.6545
213,0.9523,0.6547
214,0.9521,0.6545
215,0.9521,0.6545
216,0.9523,0.6547
217,0.9522,0.6545
218,0.9523,0.6546
219,0.9522,0.6544
220,0.9522,0.6544
221,0.9523,0.6546
222,0.9521,0.6545
223,0.9522,0.6546
224,0.9521,0.6545
225,0.9521,0.6545
226,0.9521,0.6575
227,0.9521,0.6575
228,0.952,0.6605
229,0.952,0.6605
230,0.9519,0.6635
231,0.9519,0.6635
232,0.9519,0.6635
233,0.9519,0.6666
234,0.9519,0.6666
235,0.9518,0.6696
236,0.9518,0.6696
237,0.9518,0.6726
238,0.9518,0.6726
239,0.9518,0.6726
240,0.9517,0.6756
241,0.9517,0.6756
242,0.9516,0.6787
243,0.9516,0.6787
244,0.9516,0.6817
245,0.9516,0.6817
246,0.9516,0.6817
247,0.9515,0.6848
248,0.9515,0.6848
249,0.9514,0.6878
250,0.9514,0.6878
251,0.9514,0.6878
252,0.9514,0.6909
253,0.9514,0.6909
254,0.9513,0.6939
255,0.9513,0.6939
256,0.9512,0.697
257,0.9512,0.697
258,0.9512,0.697
259,0.9512,0.7
260,0.9512,0.7
261,0.9511,0.7031
262,0.9511,0.7031
263,0.9511,0.7062
264,0.9511,0.7062
265,0.9511,0.7062
266,0.951,0.7092
267,0.951,0.7092
268,0.9509,0.7123
269,0.9509,0.7123
270,0.9509,0.7123
271,0.9509,0.7154
272,0.9509,0.7154
273,0.9508,0.7184
274,0.9508,0.7184
275,0.9508,0.7184
276,0.9507,0.7215
277,0.9507,0.7215
278,0.9507,0.7246
279,0.9507,0.7246
280,0.9506,0.7277
281,0.9506,0.7277
282,0.9506,0.7277
283,0.9506,0.7308
284,0.9506,0.7308
285,0.9505,0.7339
286,0.9505,0.7339
287,0.9504,0.737
288,0.9504,0.737
289,0.9504,0.737
290,0.9504,0.7401
291,0.9504,0.7401
292,0.9503,0.7432
293,0.9503,0.7432
294,0.9503,0.7432
295,0.9502,0.7463
296,0.9502,0.7463
297,0.9502,0.7494
298,0.9502,0.7494
299,0.9502,0.7494
300,0.9501,0.7525
301,0.9501,0.7525
302,0.95,0.7557
303,0.95,0.7557
304,0.95,0.7557
305,0.95,0.7588
306,0.95,0.7588
307,0.9499,0.7619
308,0.9499,0.7619
309,0.9498,0.7651
310,0.9498,0.7651
311,0.9498,0.7651
312,0.9498,0.7682
313,0.9498,0.7682
314,0.9497,0.7713
