"t","x","y"
0,0.7408,0.6736
1,0.7246,0.6549
2,0.7333,0.6661
3,0.7248,0.6719
4,0.7169,0.6749
5,0.7132,0.6937
6,0.7317,0.7033
7,0.7465,0.6817
8,0.7493,0.6581
9,0.7187,0.6418
10,0.7008,0.6588
11,0.7046,0.6599
12,0.6853,0.6768
13,0.6833,0.6785
14,0.6752,0.6859
15,0.662,0.6976
16,0.6567,0.699
17,0.6742,0.7084
18,0.688,0.7245
19,0.7034,0.712
20,0.7127,0.7164
21,0.7419,0.691
22,0.7413,0.6789
23,0.7457,0.6825
24,0.7535,0.691
25,0.7663,0.6993
26,0.7639,0.718
27,0.7683,0.7211
28,0.7516,0.7287
29,0.7387,0.7298
30,0.7431,0.7267
31,0.755,0.718
32,0.7562,0.7155
33,0.7298,0.7082
34,0.7615,0.7072
35,0.7676,0.6845
36,0.779,0.6721
37,0.781,0.6877
38,0.7752,0.6948
39,0.7742,0.7004
40,0.7884,0.6966
41,0.7885,0.7051
42,0.7963,0.7248
43,0.7984,0.7422
44,0.8152,0.754
45,0.8102,0.7464
46,0.8301,0.7537
47,0.8171,0.7204
48,0.8086,0.7073
49,0.7918,0.705
50,0.7794,0.712
51,0.784,0.7025
52,0.797,0.6913
53,0.7957,0.6777
54,0.7838,0.6863
55,0.7714,0.7148
56,0.74,0.7119
57,0.7367,0.7
58,0.7345,0.7165
59,0.7378,0.7128
60,0.7317,0.7223
61,0.7306,0.7079
62,0.7354,0.7015
63,0.7227,0.7335
64,0.7357,0.7526
65,0.7484,0.7383
66,0.7441,0.7436
67,0.7582,0.7294
68,0.7787,0.7267
69,0.7841,0.7082
70,0.7806,0.698
71,0.7963,0.7088
72,0.8089,0.7201
73,0.8126,0.7409
74,0.8041,0.7557
75,0.8016,0.7519
76,0.8019,0.7449
77,0.7912,0.7579
78,0.7914,0.7534
79,0.7891,0.7465
80,0.8048,0.7297
81,0.8425,0.7127
82,0.8336,0.7146
83,0.8138,0.6999
84,0.7995,0.7015
85,0.8154,0.7196
86,0.8235,0.7348
87,0.8122,0.7428
88,0.8253,0.7752
89,0.8134,0.7832
90,0.8125,0.7848
91,0.7833,0.7851
92,0.759,0.785
93,0.7482,0.7969
94,0.7394,0.8136
95,0.7327,0.8127
96,0.7259,0.8205
97,0.7221,0.8349
98,0.7103,0.8328
99,0.7028,0.8289
100,0.7072,0.8263
101,0.7068,0.8085
102,0.7128,0.7808
103,0.7131,0.768
104,0.6938,0.774
105,0.6886,0.7818
106,0.6896,0.7697
107,0.7151,0.7631
108,0.7435,0.7667
109,0.7509,0.7697
110,0.7737,0.7833
111,0.7834,0.7794
112,0.7649,0.7795
113,0.7384,0.7526
114,0.7252,0.7558
115,0.7248,0.75
116,0.7152,0.742
117,0.7141,0.732
118,0.7201,0.7386
119,0.7354,0.7516
120,0.7384,0.7605
121,0.7586,0.7576
