"t","x","y"
0,0.0067,0.0382
1,0.0067,0.0384
2,0.0067,0.0386
3,0.0067,0.0386
4,0.0067,0.0386
5,0.0067,0.0386
6,0.0067,0.0386
7,0.0067,0.0386
8,0.0067,0.0386
9,0.0067,0.0386
10,0.0067,0.0386
11,0.0067,0.0386
12,0.0067,0.0373
13,0.0068,0.0368
14,0.0066,0.0366
15,0.007,0.0359
16,0.0074,0.0362
17,0.0081,0.0355
18,0.0076,0.0353
19,0.0074,0.0359
20,0.0083,0.0357
21,0.0084,0.0361
22,0.0084,0.0361
23,0.0096,0.0352
24,0.0107,0.0342
25,0.0109,0.0325
26,0.0117,0.0328
27,0.0116,0.0323
28,0.0108,0.0321
29,0.0108,0.0321
30,0.0107,0.0313
31,0.0099,0.0339
32,0.0108,0.0339
33,0.0107,0.0321
34,0.0097,0.0341
35,0.0093,0.0355
36,0.0068,0.0374
37,0.0057,0.0373
38,0.0035,0.0385
39,0.0029,0.0383
40,0.0016,0.0381
41,4e-04,0.0411
42,6e-04,0.0415
43,0.0012,0.0386
44,0.0041,0.0378
45,0.0055,0.036
46,0.0063,0.0411
47,0.0076,0.0438
48,0.0078,0.0443
49,0.0078,0.0443
50,0.0078,0.0443
51,0.0078,0.0443
52,0.0078,0.0443
53,0.0078,0.0443
54,0.0078,0.0443
55,0.0078,0.0443
56,0.0078,0.0443
57,0.0078,0.0443
58,0.0085,0.0441
59,0.009,0.0423
60,0.0063,0.0383
61,0.0051,0.0354
62,0.0052,0.0348
63,0.0052,0.0348
64,0.0052,0.0348
65,0.0052,0.0348
66,0.0052,0.0348
67,0.0052,0.0348
68,0.0052,0.0348
69,0.0052,0.0348
70,0.0052,0.0348
71,0.0051,0.0347
72,0.0054,0.0351
73,0.0058,0.035
74,0.0063,0.0365
75,0.0065,0.0372
76,0.0068,0.0371
77,0.0067,0.0373
78,0.0066,0.0366
79,0.0066,0.0366
80,0.0063,0.038
81,0.0063,0.0386
82,0.0063,0.0386
83,0.0063,0.0386
84,0.0063,0.0386
85,0.0063,0.0386
86,0.0063,0.0386
87,0.0063,0.0386
88,0.0063,0.0386
89,0.0063,0.0386
90,0.0063,0.0386
91,0.0063,0.0386
92,0.0063,0.0386
93,0.0063,0.0386
94,0.0063,0.0386
95,0.0063,0.0386
96,0.0063,0.0386
97,0.0063,0.0386
98,0.0063,0.0386
99,0.0063,0.0386
100,0.0063,0.0386
101,0.0063,0.0386
102,0.0063,0.0386
103,0.0063,0.0386
104,0.0063,0.0386
105,0.0063,0.0386
106,0.0063,0.0386
107,0.0063,0.0386
108,0.0063,0.0386
109,0.0063,0.0386
110,0.0063,0.0386
111,0.0063,0.0386
112,0.005,0.0388
113,0.0057,0.0396
114,0.0069,0.0405
115,0.0073,0.0424
116,0.0078,0.0443
117,0.0078,0.0443
118,0.0077,0.0443
119,0.0064,0.0427
120,0.0067,0.0399
121,0.0071,0.037
122,0.0072,0.0368
123,0.0067,0.0367
124,0.0068,0.0374
125,0.006,0.0383
126,0.0065,0.0382
127,0.0061,0.0341
128,0.0051,0.0313
129,0.0053,0.0321
130,0.0042,0.0318
131,0.0063,0.0338
132,0.0065,0.0365
133,0.0061,0.0366
134,0.0067,0.0378
135,0.0065,0.037
136,0.0062,0.0367
137,0.0046,0.0356
138,0.0047,0.0348
139,0.0047,0.035
140,0.0047,0.035
141,0.0047,0.035
142,0.0047,0.035
143,0.0047,0.035
144,0.005,0.0347
145,0.0054,0.0347
146,0.0066,0.0372
147,0.0063,0.0376
148,0.0061,0.0383
149,0.0061,0.0383
150,0.0061,0.0383
151,0.0061,0.0384
152,0.0061,0.0384
153,0.0061,0.0384
154,0.0061,0.0384
155,0.0061,0.0384
156,0.0061,0.0384
157,0.0061,0.0384
158,0.0061,0.0384
159,0.0062,0.0385
160,0.0063,0.0386
161,0.0063,0.0386
162,0.0063,0.0386
163,0.0063,0.0386
164,0.0063,0.0386
165,0.0063,0.0386
166,0.0063,0.0386
167,0.0063,0.0386
168,0.0063,0.0386
169,0.0063,0.0386
170,0.0063,0.0386
171,0.0064,0.0392
172,0.0069,0.0395
173,0.0069,0.0395
174,0.0069,0.0395
175,0.0069,0.0395
176,0.0069,0.0395
177,0.0069,0.0395
178,0.0069,0.0395
179,0.0064,0.0391
180,0.0066,0.0401
181,0.0057,0.0424
182,0.0062,0.0391
183,0.0061,0.0389
184,0.0061,0.0389
185,0.0061,0.0386
186,0.0061,0.0384
187,0.0062,0.0379
188,0.0062,0.0378
189,0.0061,0.0385
190,0.006,0.0391
191,0.006,0.0391
192,0.006,0.039
193,0.0061,0.0383
194,0.0052,0.0386
195,0.0063,0.0383
196,0.0069,0.0339
197,0.0053,0.0333
198,0.0059,0.0361
199,0.0069,0.0365
200,0.0065,0.0369
201,0.0064,0.037
202,0.0066,0.0368
203,0.0068,0.0364
204,0.0052,0.0347
205,0.0052,0.0343
206,0.0047,0.0349
207,0.0061,0.0374
208,0.0065,0.0372
209,0.0065,0.037
210,0.0064,0.0366
211,0.0054,0.0365
212,0.0064,0.0374
213,0.0065,0.0371
214,0.0065,0.0371
215,0.0065,0.0366
216,0.0065,0.0366
217,0.0056,0.0354
218,0.0054,0.0347
219,0.0067,0.0378
220,0.0065,0.0379
221,0.0068,0.0378
222,0.0063,0.0381
223,0.0065,0.04
224,0.0066,0.0406
225,0.0069,0.0411
226,0.0069,0.0411
227,0.0072,0.0418
228,0.0073,0.043
229,0.0077,0.0441
230,0.0078,0.0443
231,0.0078,0.0443
232,0.0078,0.0443
233,0.0078,0.0443
234,0.0078,0.0443
235,0.0078,0.0443
236,0.0078,0.0443
237,0.0078,0.0443
238,0.0078,0.0443
239,0.0078,0.0443
240,0.0078,0.0443
241,0.0078,0.0443
242,0.0078,0.0443
243,0.0078,0.0443
244,0.0078,0.0443
245,0.0078,0.0443
246,0.0078,0.0443
247,0.0078,0.0443
248,0.0078,0.0443
249,0.0078,0.0443
250,0.0078,0.0443
251,0.0078,0.0443
252,0.0078,0.0443
253,0.0078,0.0443
254,0.0078,0.0443
255,0.0078,0.0443
256,0.0078,0.0443
257,0.0075,0.0441
258,0.0069,0.043
259,0.0034,0.0437
260,4e-04,0.0412
261,2e-04,0.0391
262,0,0.0413
263,6e-04,0.043
264,5e-04,0.041
265,7e-04,0.0401
266,0.0021,0.0399
267,0.0036,0.0392
268,0.0052,0.0377
269,0.0067,0.0361
270,0.0076,0.0387
271,0.0077,0.0361
272,0.0064,0.0379
273,0.0068,0.0371
274,0.0068,0.0344
275,0.0066,0.0377
276,0.0068,0.0366
277,0.0067,0.038
278,0.0068,0.0369
279,0.0069,0.0371
280,0.0063,0.0382
281,0.0067,0.0376
282,0.0065,0.0371
283,0.0066,0.0371
284,0.0065,0.0371
285,0.0066,0.0368
286,0.0064,0.0368
287,0.0064,0.0368
288,0.0065,0.0367
289,0.0059,0.0359
290,0.0052,0.0349
291,0.0067,0.0373
292,0.0074,0.0401
293,0.0073,0.041
294,0.0071,0.0411
295,0.0071,0.0411
296,0.0071,0.0411
297,0.0071,0.0411
298,0.0071,0.0411
299,0.0069,0.0407
300,0.0066,0.0371
301,0.0064,0.0368
302,0.0065,0.0376
303,0.0065,0.0376
304,0.0067,0.0378
305,0.0068,0.0381
306,0.007,0.0376
307,0.007,0.0376
308,0.007,0.0377
309,0.0072,0.0382
310,0.0077,0.0385
311,0.0086,0.0375
312,0.0098,0.0374
313,0.0104,0.0369
314,0.0111,0.0351
315,0.0124,0.0339
316,0.0137,0.0328
317,0.0144,0.0303
318,0.0149,0.0287
319,0.016,0.028
320,0.0168,0.0271
321,0.0184,0.0274
322,0.0207,0.0271
323,0.022,0.0264
324,0.0229,0.0267
325,0.0256,0.0269
326,0.0264,0.0257
327,0.0294,0.0259
328,0.0315,0.0275
329,0.0345,0.0286
330,0.0358,0.0296
331,0.0381,0.0319
332,0.04,0.0327
333,0.0422,0.0339
334,0.0441,0.0363
335,0.0472,0.0393
336,0.0496,0.0424
337,0.0522,0.0447
338,0.0554,0.047
339,0.0576,0.0509
340,0.0598,0.0539
341,0.0621,0.0575
342,0.064,0.0615
343,0.0664,0.0648
344,0.0685,0.0691
345,0.0706,0.0728
346,0.0726,0.0768
347,0.0754,0.0808
348,0.0766,0.086
349,0.0773,0.0904
350,0.0782,0.0939
351,0.0801,0.0991
352,0.0824,0.1016
353,0.0832,0.1043
354,0.0851,0.1082
355,0.087,0.1106
356,0.0893,0.1152
357,0.0898,0.1157
358,0.0898,0.1157
359,0.0898,0.1157
360,0.0898,0.1157
361,0.0898,0.1157
362,0.0898,0.1157
363,0.0898,0.1157
364,0.0899,0.1164
365,0.0899,0.1164
366,0.0899,0.1164
367,0.0899,0.1164
368,0.0899,0.1164
369,0.0899,0.1164
370,0.0899,0.1164
371,0.0899,0.1164
372,0.0905,0.1167
373,0.0913,0.1167
374,0.0913,0.1167
375,0.0917,0.1162
376,0.0926,0.1159
377,0.0933,0.1158
378,0.094,0.1145
379,0.094,0.114
380,0.0945,0.111
381,0.0938,0.107
382,0.0934,0.1029
383,0.0932,0.0986
384,0.093,0.0936
385,0.0933,0.0882
386,0.094,0.0827
387,0.0943,0.0781
388,0.0951,0.0721
389,0.0963,0.0666
390,0.0971,0.0631
391,0.0989,0.0593
392,0.0998,0.0551
393,0.1012,0.0504
394,0.1024,0.0457
395,0.103,0.0413
396,0.1055,0.0365
397,0.1066,0.0325
398,0.1083,0.0297
399,0.1098,0.0262
400,0.1129,0.0216
401,0.115,0.0176
402,0.1169,0.0124
403,0.119,0.0083
404,0.122,0.0068
405,0.1246,0.0071
406,0.1265,0.0057
407,0.127,0.0051
408,0.1286,0.005
409,0.1303,0.0052
410,0.1306,0.0044
411,0.1311,0.0037
412,0.1315,0.0037
413,0.1319,0.003
414,0.1323,0.0018
415,0.1329,6e-04
416,0.1328,0
417,0.1338,1e-04
418,0.1348,1e-04
419,0.1355,2e-04
420,0.1361,0.0017
421,0.136,0.0017
422,0.1375,0.0024
423,0.1378,0.0015
424,0.1504,0.004
425,0.1521,0.0053
426,0.1537,0.0059
427,0.1544,0.0072
428,0.1552,0.0082
429,0.1567,0.0094
430,0.1568,0.0108
431,0.1571,0.0121
432,0.1587,0.0143
433,0.1599,0.0153
434,0.1599,0.0163
435,0.1612,0.0176
436,0.1617,0.0189
437,0.1633,0.021
438,0.164,0.0214
439,0.1646,0.0221
440,0.165,0.0228
441,0.1912,0.0244
442,0.1926,0.0229
443,0.1935,0.0219
444,0.1947,0.0211
445,0.1954,0.0208
446,0.196,0.0205
447,0.1969,0.0199
448,0.2026,0.0185
449,0.2027,0.0186
450,0.2033,0.0189
451,0.2043,0.0193
452,0.2043,0.0192
453,0.2049,0.0191
454,0.205,0.0194
455,0.2062,0.0203
456,0.2068,0.0207
457,0.2073,0.021
458,0.2078,0.0213
459,0.2085,0.0217
460,0.2098,0.0227
461,0.2104,0.0228
462,0.2106,0.0229
463,0.2111,0.0238
464,0.212,0.0245
465,0.212,0.0254
466,0.2123,0.0274
467,0.2127,0.0284
468,0.2142,0.0301
469,0.2147,0.0306
470,0.2149,0.0311
471,0.2157,0.0316
472,0.2158,0.0313
473,0.2156,0.0317
474,0.2169,0.0332
475,0.2166,0.0344
476,0.2174,0.0365
477,0.2179,0.0379
478,0.2185,0.04
479,0.2185,0.0409
480,0.2198,0.0424
481,0.2199,0.0427
482,0.2204,0.044
483,0.2214,0.0462
484,0.221,0.0469
485,0.2222,0.0489
486,0.2232,0.0511
487,0.2417,0.0877
488,0.2429,0.0869
489,0.2437,0.0859
490,0.244,0.085
491,0.244,0.085
492,0.244,0.085
493,0.244,0.085
494,0.244,0.085
495,0.244,0.085
496,0.244,0.085
497,0.244,0.085
498,0.244,0.085
499,0.244,0.085
500,0.244,0.085
501,0.244,0.085
502,0.244,0.085
503,0.244,0.085
504,0.244,0.085
505,0.244,0.085
506,0.244,0.085
507,0.244,0.085
508,0.244,0.085
509,0.244,0.085
510,0.244,0.085
511,0.244,0.085
512,0.244,0.085
513,0.244,0.085
514,0.244,0.085
515,0.2438,0.0854
516,0.2477,0.0873
517,0.2499,0.0899
518,0.2501,0.0931
519,0.2532,0.0962
520,0.2538,0.0986
521,0.2554,0.1014
522,0.2569,0.1053
523,0.2592,0.1092
524,0.261,0.115
525,0.2634,0.12
526,0.2652,0.1235
527,0.2668,0.1269
528,0.2678,0.1292
529,0.27,0.132
530,0.2705,0.1348
531,0.2718,0.1391
532,0.2728,0.1427
533,0.2757,0.1486
534,0.2769,0.1542
535,0.2779,0.1572
536,0.2794,0.1624
537,0.2827,0.1699
538,0.2853,0.1739
539,0.2863,0.1779
540,0.2891,0.1823
541,0.2901,0.1862
542,0.2926,0.1914
543,0.2938,0.1953
544,0.2955,0.2002
545,0.2955,0.2038
546,0.2981,0.2085
547,0.3004,0.214
548,0.3084,0.2331
549,0.3154,0.2412
550,0.3179,0.2454
551,0.3202,0.2488
552,0.322,0.251
553,0.3238,0.2538
554,0.3262,0.2569
555,0.3286,0.2605
556,0.3299,0.2631
557,0.3299,0.2631
558,0.3299,0.2631
559,0.3306,0.2642
560,0.3315,0.2676
561,0.3331,0.2703
562,0.3349,0.2728
563,0.3357,0.2761
564,0.3361,0.2787
565,0.3365,0.2814
566,0.3369,0.2843
567,0.3379,0.2871
568,0.3388,0.2896
569,0.3405,0.2926
570,0.3418,0.2954
571,0.3431,0.2976
572,0.3446,0.3023
573,0.3462,0.3079
574,0.3478,0.3122
575,0.3498,0.317
576,0.3523,0.3228
577,0.3536,0.3263
578,0.3553,0.3311
579,0.3586,0.3356
580,0.3594,0.3397
